"County","state","mortality_rate","number_death","cancer_incidence","number_cases","population_2015","age","income","poverty","high_unemployment","medicare","white","black","asian","group","paired1","paired2"
"Monmouth County, New Jersey","New Jersey",168.6,1269,529.6,3887,628715,42.3,87220,8.2,1,10.7,82.60289104,7.286251262,5.283819544,1,72.8893106337637,77.2355014992276
"Osceola County, Iowa","Iowa",162,17,432.9,39,6154,44.5,51423,9.1,0,14.6,95.5240702,0.402511673,0.257607471,2,17.3160643549636,18.1610469411255
"Rush County, Indiana","Indiana",222,48,480.1,102,16672,41.3,47418,14.4,1,17,97.18086046,0.924018598,0.229533282,2,64.0309703769162,62.5676925683422
"Mason County, Kentucky","Kentucky",248.1,53,578.9,121,17099,41.1,40260,18.6,1,20.8,89.8993987,6.805041628,0.300647549,1,70.1405781321228,102.654341872096
"Finney County, Kansas","Kansas",150.1,43,453.5494221,1962.667684,37118,30.4,48609,18.8,0,17.7,75.70624512,2.326771335,4.044919613,3,54.0455638663843,7.66268825231604
"Benewah County, Idaho","Idaho",222.2,28,468.9,61,9052,45.4,46277,15.7,1,20.9,86.78477113,0.473151408,0.539172535,3,71.875616395846,84.4263066521103
"Clarion County, Pennsylvania","Pennsylvania",179.4,92,495.4,248,39498,40.3,43202,15.1,1,16.8,96.87484159,1.183656917,0.615907132,1,36.5384442731738,87.3767787671768
"Nelson County, Kentucky","Kentucky",185.4,85,551.5,252,45126,37.9,54540,12.7,1,19.8,91.66816264,5.244143255,0.298447177,2,48.3409689506516,109.141987182737
"Kandiyohi County, Minnesota","Minnesota",147.5,85,453.5494221,1962.667684,42542,39.9,57405,11.5,0,19.3,90.42738667,2.916784469,0.652624635,3,72.1906135324389,100.884192206259
"Franklin County, Nebraska","Nebraska",119.2,7,339.4,18,2985,49.9,44794,13.6,0,17.7,98.13204509,0.128824477,0.193236715,1,42.9824430029839,72.4469882217202
"Modoc County, California","California",160.8,24,408.6,57,8965,47.8,39172,20.2,1,28.4,90.17857143,0.511759582,1.088850174,3,78.0140403658152,86.4938523014661
"Beaufort County, South Carolina","South Carolina",146.9,352,442.1,1000,179589,42.8,55427,12.9,1,16.8,73.64076537,18.61159725,1.198809941,1,45.619877637364,42.3897726051346
"Beaufort County, North Carolina","North Carolina",194,130,524.2,345,47651,44.9,40357,18.8,1,21.9,70.06581022,26.43762747,0.088307647,1,2.7845507953316,-57.544967531707
"Woods County, Oklahoma","Oklahoma",125.3,14,452.6,48,9304,33.9,48831,14.3,0,12.1,89.73762869,3.21045057,0.708513229,3,8.96712313406169,35.9517861175438
"Skagit County, Washington","Washington",172.7,269,499.3,740,121846,41,51395,15.7,1,20.2,85.59027341,0.806079954,1.887835902,3,5.82462518941611,-19.8139138810295
"Iberville Parish, Louisiana","Louisiana",225.1,80,586.2,211,33095,38.4,47377,19.9,1,21.3,49.54106353,48.14770231,0.06018839,1,76.7118346644565,91.250525051829
"Jackson County, Oregon","Oregon",172.4,509,441.7,1208,212567,42.8,44835,18.1,1,24.4,91.66838642,0.7352553,1.038572107,3,28.5984399495646,-25.1736874253229
"Elbert County, Colorado","Colorado",148.3,32,410.8,102,24735,45.1,83603,5.9,1,10.8,95.27562356,0.528191155,0.838398659,1,62.8009365638718,22.1189205284987
"Piscataquis County, Maine","Maine",194,53,478.1,128,16931,49.8,36994,20.3,1,25.8,96.57262765,0.37304733,0.466309163,2,65.5762834707275,55.90106712042
"Summit County, Utah","Utah",123.6,32,432.7,142,39633,38.2,92560,6.8,0,6.8,94.90148231,0.532177254,1.954777913,3,0.814228970557451,-5.63753342968761
"Lawrence County, Illinois","Illinois",174,38,460,96,16491,40.7,41759,18.1,1,24.8,75.91359136,20.56405641,0.108010801,1,30.0832996610552,-30.7964903391334
"Itasca County, Minnesota","Minnesota",177.7,123,453.5494221,1962.667684,45435,45.9,48525,14.7,1,18.9,93.05904661,0.489482736,0.390263262,1,87.7562275156379,121.024432036636
"Logan County, Illinois","Illinois",189.5,76,505.7,187,29494,39.7,54353,12.6,1,17.8,79.20616905,11.76058219,0.881292562,2,27.0524374675006,105.162067531183
"Amite County, Mississippi","Mississippi",171.8,33,425.1,78,12574,45.3,30668,23.2,1,30.3,57.59345794,42.18068536,0.093457944,1,21.7882576631382,45.4777318106147
"White County, Georgia","Georgia",144.6,54,469,169,28319,43.9,42126,16.9,1,17.9,94.2859199,2.727501709,0.302256126,3,49.8379172058776,80.9414976580579
"Edgefield County, South Carolina","South Carolina",157.8,48,399.8,123,26514,42.1,44129,17.5,1,19.2,59.0455679,36.63190509,0.343837376,3,4.24272352829576,22.5746311280431
"New Castle County, Delaware","Delaware",177.2,1022,485.9,2780,556779,37.5,64632,12.3,1,17,65.46940469,24.20098136,5.044183224,2,25.9519825922325,38.5588831684293
"Jackson County, Michigan","Michigan",193.8,372,473.5,883,159494,40.5,46670,15.4,1,19.9,87.54624153,8.525341295,0.664125339,2,99.3561519309878,62.4092775795325
"Sevier County, Tennessee","Tennessee",185.2,210,493.9,549,95946,42.2,39905,17.7,1,21.2,94.51808966,0.660136514,1.189954816,1,36.1621490679681,-63.2527796968063
"Brooke County, West Virginia","West Virginia",186.2,69,481.6,164,23350,45.9,43572,15.1,1,19.4,96.81808578,1.745193323,0.515529263,2,32.9905590275303,33.4588396727313
"Robertson County, Tennessee","Tennessee",187.2,128,496.6,343,68570,38.6,52640,13.4,1,17,87.66054638,7.531219411,0.459763296,3,8.66591138765216,22.6345851376987
"Long County, Georgia","Georgia",180.9,20,366.5,41,17731,31.2,43193,21.9,1,21.8,64.73957077,23.37834579,1.326259947,3,44.1888933535665,110.154651255322
"Desha County, Arkansas","Arkansas",186.9,31,455.6,73,11965,39.4,33028,27.3,1,32.7,49.88286614,48.05719363,0.056547379,3,24.8549669748172,20.4411788937828
"Ransom County, North Dakota","North Dakota",181.4,16,447,35,5448,44.5,56270,8.4,0,8.8,97.21254355,0.586832936,0.293416468,2,14.5684323040769,39.0717555118782
"Cass County, Illinois","Illinois",195.3,33,448.2,74,12847,39.2,46289,13.2,1,18.8,89.45224083,3.500829938,0.24898144,1,17.8546465467662,10.6249480491388
"Wilcox County, Georgia","Georgia",195,21,451.7,49,8857,39.4,32722,30.7,1,27.4,59.54079358,37.69505127,0.523851984,2,80.6468153605238,85.5934621731563
"Benzie County, Michigan","Michigan",179,50,472.8,125,17457,48.4,48846,11.8,1,16.9,96.01422263,0.332626025,0.269541779,1,12.3126294929534,50.9203904228718
"Sagadahoc County, Maine","Maine",173.6,82,451.7,208,35149,45.2,55630,10.5,1,19,95.9221475,0.732360652,0.712413086,1,46.9927123514935,97.8278720809946
"Cherokee County, North Carolina","North Carolina",179.9,82,457.2,197,27178,50,34620,21,1,24.4,93.69924701,1.616713421,0.369112653,1,47.5219206186011,103.003945230402
"Tuscarawas County, Ohio","Ohio",168.7,210,447.1,527,92916,41,46128,13.4,1,18.3,96.6395892,0.84468753,0.37541668,3,41.3711739936844,-10.0475414895407
"Cambria County, Pennsylvania","Pennsylvania",168.5,366,488.3,979,136411,44.4,42703,15.3,1,17.6,93.8492334,3.407207582,0.495763411,1,52.1179074188694,42.4311029452099
"Douglas County, Washington","Washington",157.4,70,449.9,194,40534,37,51151,15.5,1,26,73.33771055,0.3409177,0.742442991,1,29.6221066499129,44.6514680397092
"Lewis County, New York","New York",173.6,59,470.1,154,26957,41.4,47542,14.3,1,19.4,96.8035688,0.918006194,0.446099395,1,58.8439402868971,66.1236568761948
"Latah County, Idaho","Idaho",148.9,50,395.9,134,38778,28.5,43482,19.9,1,9,93.00190407,0.654685829,2.253579906,1,97.4780934397131,61.2320414163809
"Hickman County, Tennessee","Tennessee",213.5,61,509.6,143,24363,40.7,37443,20.2,1,25.7,92.14676934,4.826421777,0.032944859,3,98.5319796251133,98.0770020894175
"McKean County, Pennsylvania","Pennsylvania",170.4,101,465.6,260,42412,42.4,44723,16.6,1,18.5,94.76028356,2.371513851,0.487361254,3,59.5671045826748,136.635682514766
"Columbia County, Washington","Washington",194.4,14,476.2,30,3944,49.5,45465,15.5,1,26.2,91.75231888,0.350965154,0.551516671,3,49.7603738680482,29.7261959469869
"Phillips County, Montana","Montana",151.2,10,456.8,29,4169,47.9,41595,15.7,1,13.6,87.20902328,0,0,1,23.3719405252486,44.4578718842759
"Charlevoix County, Michigan","Michigan",167.7,64,483.4,177,26238,46.7,47991,12.6,1,16.7,95.16721512,0.325246805,0.482130558,3,47.3474353086203,91.7582168213941
"Major County, Oklahoma","Oklahoma",182.3,20,478.7,51,7771,41.6,54107,11.8,1,16.3,89.20779221,0.363636364,0,1,35.9633021987975,-19.7501482455782
"Lee County, Iowa","Iowa",181.3,92,509.2,241,35089,42.9,44719,17.7,1,19.3,93.39534621,3.019593429,0.508920241,2,0.92328917235136,-57.9607350883659
"Stevens County, Kansas","Kansas",148.2,10,453.5494221,1962.667684,5806,34.9,59773,9.7,0,11.8,84.85793486,0.554400554,0.277200277,3,50.6397112971172,65.3830027884051
"Glenn County, California","California",165.2,51,443.4,135,28017,37.2,43755,17.1,1,26.3,85.25812551,0.966855757,2.479574726,1,75.9798831539229,117.848595869171
"Lowndes County, Mississippi","Mississippi",185,121,445.6,285,59710,36.3,39937,23.6,1,21.7,53.79654601,43.83323004,0.703529372,3,39.5658505149186,71.0107096084263
"Pueblo County, Colorado","Colorado",160,322,436,832,163591,38.8,41382,19,1,27.1,78.76225088,2.238745906,0.763996805,2,61.3259967416525,54.589027939506
"Harford County, Maryland","Maryland",169.9,450,485.5,1302,250290,40.1,79403,8,1,11.9,80.04426307,13.33836749,2.795160785,2,87.3149043880403,129.889902018277
"Bacon County, Georgia","Georgia",192,24,378.7,48,11299,37.1,34201,25.9,0,26.2,77.93619676,14.95277134,1.220816254,3,36.7491216165945,8.48803038304615
"Doña Ana County, New Mexico","New Mexico",150.8,319,381,799,214295,32.4,38974,27.9,1,29.9,89.05792123,1.73020569,1.088505957,1,6.61917992401868,45.7374127866982
"Jefferson County, New York","New York",177,196,500.8,554,117635,31.8,49781,15.1,1,19.8,86.39309945,5.525990567,1.450225731,3,38.1729896413162,32.4552775805213
"Floyd County, Iowa","Iowa",165.4,41,494,113,15960,43.6,48292,12.7,0,19.9,94.7165109,2.024922118,0.753894081,1,24.4434182997793,69.6193961919965
"Danville city, Virginia","Virginia",207.4,130,539,320,42082,41.8,33646,23.6,1,25.5,46.20023557,48.65959953,1.220259128,3,90.7065719831735,143.826345385789
"Harvey County, Kansas","Kansas",162.2,79,453.5494221,1962.667684,35073,38.6,55074,12.8,0,14.4,92.91517152,1.636285345,0.680350222,1,94.1441491013393,105.249740550867
"Calhoun County, Texas","Texas",182.1,47,435.6,107,21895,38.1,46705,17.3,1,18.6,87.63038863,2.880088618,3.540108926,2,24.4154809508473,7.28703561189797
"Lawrence County, Indiana","Indiana",197.2,119,466.2,275,45495,41.9,45232,12.5,1,16.8,96.706247,0.373248352,0.578425809,1,95.786725752987,82.0766784119788
"Grant County, Kentucky","Kentucky",205.4,48,513.7,123,24757,36.7,46226,16.9,1,18.4,94.85610053,0.31617349,0.024321038,1,95.1257505221292,94.278716689694
"Muscogee County, Georgia","Georgia",190,362,504.8,947,200579,33.5,41783,21.9,1,19.3,45.81820905,44.76770602,2.407569214,3,8.22572470642626,-43.973067131665
"Virginia Beach city, Virginia","Virginia",168.1,688,435.6,1825,452745,35,67676,8.6,1,9.2,67.74074818,19.30826028,6.463003859,2,85.1235674228519,118.778250227125
"Waynesboro city, Virginia","Virginia",210.5,58,596.9,157,21491,38.5,44843,14.6,0,20.1,81.1536643,12.74231678,0.964539007,1,91.6174460668117,66.3064141925596
"Wichita County, Kansas","Kansas",177.6,6,453.5494221,1962.667684,2157,35.7,53447,11.5,0,12.9,94.32849365,0,0.317604356,1,60.5770661029965,29.6972960593993
"Tulare County, California","California",155.2,564,391.5,1436,459863,30.3,42360,28.1,1,35,80.86791048,1.728068224,3.397770647,1,55.3953618276864,34.6575730361658
"Carbon County, Montana","Montana",129.1,20,411.7,62,10408,49.1,47520,12.7,0,14.5,96.42578886,0.009738995,0.243474873,1,90.2630644384772,145.578444646191
"Fulton County, Arkansas","Arkansas",175,35,394.1,78,12204,48,33347,22.6,1,25.6,96.96498691,0.122709424,1.505235602,3,25.5982734262943,-10.361837203477
"Williamsburg city, Virginia","Virginia",162.1,23,1014.2,135,15052,24.6,46954,20.1,1,8.9,74.88816592,15.27721296,5.889928155,1,66.5536232059821,98.6670376926199
"Santa Rosa County, Florida","Florida",190.7,314,426.5,708,167040,39.5,58587,11.2,1,14.6,85.85898734,5.729687432,1.944466871,2,66.244975826703,156.711216323271
"Hamilton County, Kansas","Kansas",164.2,5,453.5494221,1962.667684,2474,38,47709,12.8,0,17.6,87.97370456,2.088167053,0,1,20.7603676244617,-41.7101543917247
"Wright County, Minnesota","Minnesota",165.2,174,453.5494221,1962.667684,131311,35.6,76489,6,1,12.1,94.5637224,1.013279872,1.019496313,2,73.656414099969,6.84707775059175
"Mason County, Washington","Washington",176,152,505.4,428,61023,45.4,52313,15.6,1,20.2,84.88263065,1.653205244,1.53805662,2,60.6994694331661,50.331738103394
"Morgan County, Alabama","Alabama",184.9,258,472.8,653,119565,39.5,45082,15,1,17,82.68996377,12.28607684,0.601071912,3,17.4219649517909,75.4203658966755
"Franklin city, Virginia","Virginia",221.7,25,468,51,8490,38,38583,22.5,1,22.3,38.85538607,58.60234126,0.591226203,2,19.3073672475293,34.1934864050446
"Grant County, New Mexico","New Mexico",159.4,76,366.5,166,28609,46.5,38221,19.1,1,30.3,89.08959786,0.631889831,0.19574848,2,31.2097046989948,-39.516833310771
"Howard County, Maryland","Maryland",131.9,346,418.1,1186,313414,38.8,106871,6.1,0,8.2,60.10226395,18.13623136,16.24089571,2,91.8336183298379,121.708171966097
"Henry County, Missouri","Missouri",222.5,74,483.4,152,21737,44.1,39232,18.3,1,19.8,96.1423255,1.720068984,0.158845421,2,22.7362464182079,10.7867292814095
"New Madrid County, Missouri","Missouri",229.7,57,438.4,105,18208,40.5,34631,23.3,1,26.2,81.46216936,16.1588181,0.092336103,2,35.6137135997415,54.0879795852317
"Robeson County, North Carolina","North Carolina",193,253,409.6,554,134197,35.2,30414,33.1,1,32,30.07614684,24.10673903,0.755536772,1,0.361816422082484,-0.723413232861168
"Ray County, Missouri","Missouri",204.2,57,472.9,132,22810,41.5,51986,15.3,1,14.5,95.73618167,1.354695845,0.204072771,2,47.9110089596361,89.6991541108093
"Pender County, North Carolina","North Carolina",169.8,112,463.5,298,57611,42.1,45453,15.4,1,17.9,76.27705471,17.11924011,0.208461734,3,19.2594260210171,81.7360217330355
"Hansford County, Texas","Texas",129.1,8,448,27,5610,36.4,50698,12.7,0,16.1,94.35150207,0.125921928,0.359776938,1,97.3771299235523,92.1845311128595
"Roosevelt County, Montana","Montana",182.6,19,509.5,53,11476,30.4,37511,23.8,1,29.9,36.96712428,0.081286127,0.18966763,1,6.43556984141469,16.5001543478522
"Taylor County, West Virginia","West Virginia",172.2,39,400.9,87,16912,43,40305,16.8,1,20.6,97.26100018,0.948341874,0.960122519,2,29.922139365226,25.0045521501133
"Bowman County, North Dakota","North Dakota",209.3,12,472.9,22,3294,43.6,60946,7.4,0,5.7,95.56038497,0.124185036,0,2,68.1006899802014,79.7436575868646
"Dorchester County, South Carolina","South Carolina",172.9,210,483.1,618,152478,35.8,56388,12.8,1,15,68.06368596,25.51007103,1.709501424,3,27.2233586292714,-15.9955614344708
"Winn Parish, Louisiana","Louisiana",227.5,41,524.4,96,14568,41.3,36644,26.8,1,22.2,65.60753955,32.56815887,0,1,76.4637771993876,3.20474957318883
"Hill County, Montana","Montana",178,31,485.1,84,16572,34.3,43509,17.6,0,19,72.84391454,0.018156509,0.508382255,1,85.1831444073468,110.095705407511
"Lamar County, Texas","Texas",187.3,120,469.5,292,49440,40.3,41009,18.6,1,21.5,80.97889682,12.50655691,0.82516241,1,3.10502033680677,-43.7470339370158
"Kent County, Delaware","Delaware",190.7,347,527.2,940,173533,37,54271,14.1,1,20.5,67.20882077,24.31198343,2.091334383,2,66.2585644051433,63.3236310029873
"Liberty County, Florida","Florida",220.4,17,391.5,32,8331,37.6,38473,24.7,1,20.3,77.97468354,16.52802893,0.807715491,3,97.4037785548717,164.716091981025
"Glades County, Florida","Florida",135.3,28,354.9,68,13670,45.3,38783,21.1,1,24.1,79.87492465,13.02742616,0.421940928,3,64.9380800314248,63.0390631079231
"Bennington County, Vermont","Vermont",176.1,100,488,261,36317,46.1,44674,14.4,1,28,96.35136243,0.491951133,0.486485009,1,94.7788714431226,107.051479587736
"Waller County, Texas","Texas",163.1,64,375.6,145,48656,29.1,50589,16.1,1,19.3,68.98379392,25.36480031,0.7721334,3,15.3211935190484,-75.1087455174472
"Elkhart County, Indiana","Indiana",170.1,350,442.7,891,203474,35.2,50192,13.9,1,19.1,86.21969754,5.785185739,1.073822159,2,13.9778480865061,14.707320107505
"Washington County, Texas","Texas",158,78,424.8,192,34765,42,55139,15,1,16.4,78.16041594,17.14569459,1.770066597,2,14.2390310531482,-8.29088288564444
"Brown County, Nebraska","Nebraska",156,9,358.2,19,2946,47.6,42348,12.8,0,17,97.46588694,0.032488629,0.194931774,1,45.3599712345749,30.4067633918588
"DeKalb County, Indiana","Indiana",185.8,87,464.7,213,42589,38.6,51911,10.1,1,15.4,96.90452072,0.259134491,0.452307475,3,41.2402401678264,25.3776761890889
"Hale County, Alabama","Alabama",197.7,39,510.4,98,15068,40.2,33315,28.1,1,26.8,39.96460409,58.24593603,0.275301521,2,81.313183484599,74.5372391729634
"Windham County, Connecticut","Connecticut",172.2,229,431.4,569,116573,40.4,57547,10.3,1,21,90.30901507,2.230356687,1.230101302,1,48.4401116380468,70.2515516470437
"Pointe Coupee Parish, Louisiana","Louisiana",188.2,54,507.4,146,22251,42.6,44469,18.3,1,21.7,62.05440484,35.90096898,0.320028447,2,52.9811036773026,35.8857722812152
"Martin County, Texas","Texas",153.2,7,331.3,16,5641,31.9,61896,12.5,0,12.5,84.27265804,2.3229246,0,3,17.8493973566219,80.3754223435217
"Winnebago County, Iowa","Iowa",163.3,27,446.6,67,10609,43.2,50703,10.4,1,11.1,95.79800264,0.923308837,1.083474656,3,74.2826516507193,70.8087041448453
"Clinton County, Iowa","Iowa",191.8,127,483.1,305,47768,42.1,48528,12.9,0,16.5,93.62142045,2.795409904,0.665770702,2,43.746633711271,61.0402277977415
"Gray County, Kansas","Kansas",150.7,9,453.5494221,1962.667684,6133,36.1,58543,8.3,0,11.4,98.35119538,0,0.131904369,1,45.9288770332932,26.2034351192957
"Venango County, Pennsylvania","Pennsylvania",199.4,160,487.7,369,53119,45.4,43810,16.2,1,20.3,96.82039105,0.888583831,0.387711943,3,65.3787807794288,-17.9403133504688
"Franklin County, New York","New York",180.9,105,466.4,274,50660,39.8,45704,18.5,1,21.6,82.97971919,5.569422777,0.430967239,3,97.64017497655,142.541299006799
"Liberty County, Montana","Montana",126.9,5,371.2,12,2408,44.8,37911,19.1,0,13,96.20092866,0,0,3,52.6488340226933,31.8006929277373
"Oscoda County, Michigan","Michigan",199.5,30,404.3,59,8251,51.3,33975,20.5,1,20.6,96.684036,0.438180957,0.0828991,1,76.3415293768048,135.860507031765
"Van Buren County, Arkansas","Arkansas",178.9,51,424,113,16771,47.1,32975,22,1,26,95.24761793,0.888130808,0.170568168,2,39.5051541505381,21.9351675231585
"Humphreys County, Mississippi","Mississippi",220.9,22,560.9,55,8669,35.3,25562,40.3,1,39.8,22.60685663,75.40071238,0.111308994,3,90.5002696206793,3.65360398193943
"Houston County, Tennessee","Tennessee",219,25,457,50,8149,43.2,39753,19.1,1,25,94.31845597,2.689987937,0.180940893,3,2.01382751110941,36.2113904944558
"Aitkin County, Minnesota","Minnesota",164.1,50,453.5494221,1962.667684,15702,53.1,40676,14.9,1,22.3,95.07544668,0.366184734,0.309362965,3,76.4768147375435,62.5767809257637
"Hunt County, Texas","Texas",198.5,195,476.8,465,89844,38,43385,20.5,1,19,78.69895062,8.447281152,1.178848862,2,61.9149576639757,23.1491500305809
"Seminole County, Oklahoma","Oklahoma",208.9,68,484.1,152,25548,39.7,35964,24.7,1,24.8,68.44707822,4.99195479,0.192300145,2,47.1438528737053,78.1484896399867
"Chatham County, North Carolina","North Carolina",146.8,149,427.6,384,70928,46.3,56797,13.9,1,16.7,78.99037535,12.27773576,1.389568596,2,19.0701705869287,-4.01586363507588
"Jefferson Davis Parish, Louisiana","Louisiana",208,78,499.6,179,31439,38.4,37968,21.7,1,25.3,79.74804352,17.14703824,0.334033212,2,41.2771598203108,-5.36663806077725
"Montgomery County, Georgia","Georgia",163.1,15,437,43,8951,38,36436,22.4,1,22.6,70.88537021,26.4161463,0.423728814,2,96.979570761323,119.694227883885
"Door County, Wisconsin","Wisconsin",158.7,77,449.3,208,27554,51.7,49717,11,1,15.5,96.61750388,0.540910894,0.479607659,2,8.00169247668236,-3.43075607666987
"Mackinac County, Michigan","Michigan",160.3,31,422.5,75,10890,50.9,39359,15.4,1,19.2,75.31691416,1.711336472,0.588554871,3,56.1941006919369,36.945524333932
"LaMoure County, North Dakota","North Dakota",134.7,10,370.5,27,4125,48.5,53721,9.7,0,9.9,98.51689764,0.121565767,0,1,1.97804565541446,-53.5487464892645
"Wyoming County, New York","New York",181.1,87,577.4,281,41013,41.1,53783,12.3,1,16.1,91.77725233,5.723109588,0.422236163,1,46.6670054476708,-26.7623396880095
"Lowndes County, Alabama","Alabama",211.9,28,507.2,67,10458,39.5,30675,31.4,1,25.4,25.49804506,74.05511078,0,2,83.1388209247962,74.7448018945645
"Webster County, Nebraska","Nebraska",162.7,12,495.5,31,3625,47.5,40979,12.7,0,17.7,95.53692183,0.054097917,1.379496889,1,34.4943378353491,40.0271487762845
"Terrebonne Parish, Louisiana","Louisiana",213.2,234,493.1,549,113972,35.2,49044,20.9,1,20.1,71.23077469,18.53435277,0.913590321,1,61.4534236025065,34.8986398212336
"Grant County, Oregon","Oregon",131.4,17,400.3,47,7185,51.1,41304,16.8,1,22.2,95.4095657,0.329851567,0.412314458,1,91.2822883343324,72.4634020641248
"Gilpin County, Colorado","Colorado",129.8,7,400.2,22,5828,44.7,64752,7.9,0,11,92.14986619,0.517395183,0.142729706,1,30.3475368767977,-52.5818646251308
"Alpena County, Michigan","Michigan",179.3,81,537.3,228,28803,47.1,38121,16.8,1,18.2,96.73180129,0.567634512,0.464428237,2,72.3627130268142,64.8279908099917
"Marquette County, Wisconsin","Wisconsin",217.8,54,471.9,110,15075,48.6,43661,13,1,19.1,96.52575958,0.435931308,0.482166446,2,46.4433406712487,42.3980992465818
"York County, Nebraska","Nebraska",164.7,33,389.2,72,13806,41.3,51335,10.6,0,11.6,95.60940326,0.933092224,0.224231465,2,95.0407399563119,42.506369970352
